rank,name,url,category,subcategory,industry,design_style,color_mode,typography,hero_type,motion_level,product_ui,3d_webgl,distinctive_trait,curation_score_10,priority,tags,status,added_on,source_url,notes
453,Jesko Jets,https://jeskojets.com/,Website,Luxury aviation,Travel / Luxury,"Cinematic luxury, airy motion, full-screen aviation",Dark,Refined sans,Full-screen aircraft motion,High,Medium,Medium,"The sensation of flight is translated into elegant motion, scale and whitespace",9.8,A,luxury|aviation|cinematic|motion|fullscreen,Active,2026-08-07,https://jeskojets.com/,2026 Webby People's Voice winner; Awwwards SOTD
454,++hellohello,https://www.hellohello.is/,Website,Creative studio,Creative Services,"Playful, typographic, kinetic, character-led",Mixed,Expressive display sans,Animated studio identity,High,Low,Medium,"A strong example of a studio turning personality, typography and movement into the interface itself",9.7,A,studio|typography|motion|playful|interactive,Active,2026-08-07,https://www.hellohello.is/,Awwwards-recognized studio site
455,Kriss.ai,https://kriss.ai/,Website,AI brand experience,AI / Technology,"Humanistic AI, surreal, editorial, motion-rich",Mixed,Large editorial sans,AI narrative / visual storytelling,High,Medium,Medium,Avoids generic AI aesthetics through unusual imagery and a more emotional visual language,9.8,A,ai|editorial|surreal|motion|storytelling,Active,2026-08-07,https://kriss.ai/,Awwwards Site of the Month 2024
456,Zentry,https://zentry.com/,Website,Gaming / metagame platform,Gaming / Technology,"Game-world, cinematic, maximal, 3D",Dark,Game-inspired display sans,Interactive gaming universe,High,High,High,A brand website that behaves like the entrance to a game universe,10.0,A,gaming|3d|webgl|cinematic|maximal|interactive,Active,2026-08-07,https://zentry.com/,Awwwards Site of the Month-level work
457,Slosh Seltzer,https://sloshseltzer.com/,Website,Beverage commerce,Food & Beverage,"Loud, colorful, animated, characterful",Mixed,Chunky expressive display type,Animated beverage brand world,High,Low,Medium,"Packaging graphics, humor and motion create a deliberately excessive beverage experience",9.8,A,beverage|colorful|motion|branding|playful,Active,2026-08-07,https://sloshseltzer.com/,Awwwards-recognized case study
458,Akaru,https://www.akaru.fr/,Website,Creative studio,Creative Services,"Graphic, typographic, minimal-to-expressive",Mixed,Expressive grotesk,Identity-led studio portfolio,High,Low,Medium,A disciplined graphic system that becomes increasingly expressive through interaction,9.8,A,studio|typography|graphic|motion|identity,Active,2026-08-07,https://www.akaru.fr/,Awwwards Site of the Month 2024
459,ARCHIDOMO,https://archidomo.fr/,Website,Architecture / spatial design,Architecture,"Architectural, editorial, spatial, monochrome",Light,Modern sans,Architecture-led project experience,High,Low,Medium,Architecture imagery and spatial transitions create a gallery-like browsing rhythm,9.7,A,architecture|editorial|spatial|portfolio|motion,Active,2026-08-07,https://archidomo.fr/,Strong contemporary architecture reference
460,Studio Namma,https://studionamma.com/,Website,Creative studio,Creative Services,"Bold editorial, fashion-aware, graphic",Mixed,Large display sans,Art-directed portfolio,High,Low,Medium,Projects are staged with strong type/image tension rather than a repetitive case-study template,9.7,A,studio|editorial|graphic|fashion|motion,Active,2026-08-07,https://studionamma.com/,2026 award-gallery reference
461,Charmer Studio,https://www.charmerstudio.com/,Website,Creative studio,Creative Services,"Polished editorial, warm, typographic",Light,Editorial serif + sans,Case-study editorial system,Medium,Low,Low,"A refined studio reference for typography, whitespace and art-directed case-study pacing",9.6,A,studio|editorial|typography|branding|portfolio,Active,2026-08-07,https://www.charmerstudio.com/,2026 CSSDA reference
462,Manet Creative,https://manet.agency/,Website,Creative agency,Creative Services,"High-contrast, kinetic, contemporary",Mixed,Bold modern sans,Animated agency portfolio,High,Low,Medium,Strong transitions and visual tempo make the agency feel much more like a media object,9.7,A,agency|motion|bold|portfolio|interactive,Active,2026-08-07,https://manet.agency/,2026 CSSDA reference
463,Metajive,https://www.metajive.com/,Website,Digital studio,Creative Services,"Experimental digital, playful, interaction-led",Mixed,Expressive sans,Interactive project showcase,High,Low,Medium,A playful creative-development portfolio with strong interaction craft and unusual pacing,9.7,A,studio|interactive|experimental|motion|portfolio,Active,2026-08-07,https://www.metajive.com/,Award-winning digital studio
464,Norgram,https://www.norgram.co/,Website,Design studio,Creative Services,"Swiss-modern, editorial, restrained",Light,Refined grotesk,Minimal project archive,Medium,Low,Low,"Exceptional restraint: grid, whitespace and typography do nearly all the visual work",9.7,A,studio|swiss|minimal|editorial|typography,Active,2026-08-07,https://www.norgram.co/,2026 Webby honoree
465,Mission Control,https://missioncontrol.co/,Website,Brand / design studio,Creative Services,"Bold, high-impact, identity-led",Mixed,Large display sans,Brand-led home page,High,Low,Medium,A highly composed homepage where branding and visual rhythm are treated as the primary product,9.7,A,branding|studio|homepage|motion|typography,Active,2026-08-07,https://missioncontrol.co/,2026 Webby Best Home Page nominee
466,Playdate,https://play.date/,Website,Handheld gaming product,Gaming / Hardware,"Playful yellow, industrial, toy-like",Light,Friendly geometric sans,Rotating handheld / crank demos,High,Medium,Medium,"The product's physical crank, color and personality drive the entire digital identity",10.0,A,hardware|gaming|playful|product|industrial|motion,Active,2026-08-07,https://play.date/,
467,Panic,https://panic.com/,Website,Software / hardware studio,Technology / Creative Tools,"Playful, eccentric, product-led",Mixed,Friendly sans,Product universe / illustrations,Medium,Medium,Low,A technology company site with unusually consistent humor and visual personality,9.7,A,technology|playful|illustration|products|branding,Active,2026-08-07,https://panic.com/,
468,Analogue,https://www.analogue.co/,Website,Premium gaming hardware,Gaming / Hardware,"Industrial minimal, luxury-tech, cinematic",Dark,Minimal modern sans,Console renders / material details,High,Low,High,Retro-gaming hardware is treated like precision industrial sculpture,9.9,A,gaming|hardware|industrial|minimal|3d|premium,Active,2026-08-07,https://www.analogue.co/,
469,Rabbit,https://www.rabbit.tech/,Website,AI consumer hardware,AI / Hardware,"Bright minimal, product-first, playful",Light,Modern sans,Orange device / interaction story,High,Medium,Medium,"A tiny AI device is given a strong, instantly recognizable visual world",9.7,A,ai|hardware|product|bright|minimal|motion,Active,2026-08-07,https://www.rabbit.tech/,
470,Cowboy,https://cowboy.com/,Website,Electric bicycle,Mobility / Technology,"Urban premium, cinematic, product-led",Mixed,Modern sans,Bike film / interactive product story,High,Medium,Medium,Mobility hardware is presented with fashion-level photography and polished motion,9.7,A,mobility|bike|product|cinematic|premium|motion,Active,2026-08-07,https://cowboy.com/,
471,VanMoof,https://www.vanmoof.com/,Website,Electric bicycle,Mobility / Technology,"Minimal urban-tech, product-led",Light,Modern sans,E-bike product story,Medium,Medium,Low,Clean product presentation combines industrial detail with a distinctive urban brand voice,9.6,A,mobility|bike|minimal|product|technology,Active,2026-08-07,https://www.vanmoof.com/,
472,Nothing Phone (3),https://nothing.tech/pages/phone-3,Website,Smartphone product launch,Technology,"Monochrome tech, dot typography, industrial",Mixed,Dot-matrix + grotesk,Phone / Glyph product story,High,Medium,Medium,"The brand's graphic system is carried through hardware renders, typography and interface details",9.8,A,smartphone|industrial|monochrome|product|typography|motion,Active,2026-08-07,https://nothing.tech/pages/phone-3,
473,Apple iPhone,https://www.apple.com/iphone/,Website,Smartphone product experience,Technology,"Cinematic, product-first, ultra-polished",Mixed,SF Pro,Full-screen device story,High,Medium,High,"A benchmark for large-scale product imagery, sequencing and scroll-based feature storytelling",9.9,A,smartphone|product|cinematic|3d|motion|technology,Active,2026-08-07,https://www.apple.com/iphone/,
474,Apple Watch Ultra 2,https://www.apple.com/apple-watch-ultra-2/,Website,Wearable product microsite,Technology / Sports,"Rugged cinematic, macro product, outdoors",Dark,SF Pro,Watch / environment feature journey,High,Medium,High,"Macro hardware, extreme environments and animated feature explanations create product theatre",9.9,A,wearable|product|cinematic|outdoor|3d|motion,Active,2026-08-07,https://www.apple.com/apple-watch-ultra-2/,
475,Apple iPad Pro,https://www.apple.com/ipad-pro/,Website,Tablet product microsite,Technology / Creative,"Black cinematic, thinness-led, creative",Dark,SF Pro,Ultra-thin device / creative workflows,High,Medium,High,"Scale, thinness and display quality are dramatized through precise animation and 3D imagery",9.9,A,tablet|creative|product|cinematic|3d|motion,Active,2026-08-07,https://www.apple.com/ipad-pro/,
476,Apple Mac Studio,https://www.apple.com/mac-studio/,Website,Desktop hardware,Technology / Creative,"Technical premium, product-led, restrained",Mixed,SF Pro,Desktop / performance narrative,High,Medium,Medium,Performance and industrial engineering are converted into a clean visual narrative,9.7,A,desktop|hardware|product|technical|motion,Active,2026-08-07,https://www.apple.com/mac-studio/,
477,Nintendo Switch 2,https://www.nintendo.com/us/gaming-systems/switch-2/,Website,Gaming hardware launch,Gaming,"Playful product, modular, colorful",Light,Nintendo sans,Console / gameplay feature story,High,Medium,Medium,Hardware functionality is explained with playful physicality and game-world energy,9.8,A,gaming|hardware|product|playful|motion,Active,2026-08-07,https://www.nintendo.com/us/gaming-systems/switch-2/,
478,Steam Deck,https://store.steampowered.com/steamdeck,Website,Gaming handheld,Gaming / Hardware,"Dark utilitarian gaming, product-led",Dark,Modern sans,Handheld / gameplay modules,Medium,Medium,Low,A dense technical product stays legible while retaining strong gaming character,9.5,A,gaming|hardware|dark|product|technical,Active,2026-08-07,https://store.steampowered.com/steamdeck,
479,DJI Avata 2,https://www.dji.com/avata-2,Website,FPV drone microsite,Technology / Imaging,"High-speed cinematic, technical, immersive",Dark,Modern sans,FPV flight / product film,High,Medium,High,"Flight footage, 3D hardware and scroll pacing communicate speed and immersion extremely well",9.9,A,drone|fpv|cinematic|3d|product|motion,Active,2026-08-07,https://www.dji.com/avata-2,
480,DJI Osmo Pocket 3,https://www.dji.com/osmo-pocket-3,Website,Camera product microsite,Technology / Imaging,"Cinematic creator-tech, product-led",Dark,Modern sans,Camera / filming scenarios,High,Medium,Medium,Real footage and animated product features make a complex camera immediately understandable,9.7,A,camera|creator|product|cinematic|motion,Active,2026-08-07,https://www.dji.com/osmo-pocket-3,
481,Oura Ring 4,https://ouraring.com/product/rings/oura-ring-4,Website,Wearable product microsite,Health / Technology,"Soft luxury, macro, health-tech",Mixed,Modern sans,Ring / sensor macro imagery,High,Medium,Medium,Tiny sensors and materials are staged like jewelry through premium macro visualization,9.8,A,wearable|health|luxury|product|macro|3d,Active,2026-08-07,https://ouraring.com/product/rings/oura-ring-4,
482,Teenage Engineering EP-133 K.O. II,https://teenage.engineering/products/ep-133,Website,Music hardware product page,Music Technology,"Industrial playful, tactile, utilitarian",Light,Technical sans,Sampler hardware / controls,Medium,Medium,Low,A dense physical interface is presented with near-perfect industrial-design personality,9.9,A,music|hardware|industrial|playful|product,Active,2026-08-07,https://teenage.engineering/products/ep-133,
483,Bang & Olufsen Beosound A5,https://www.bang-olufsen.com/en/us/speakers/beosound-a5,Website,Audio product microsite,Luxury / Audio,"Scandinavian luxury, tactile, material-led",Light,Refined sans,Speaker material / lifestyle imagery,Medium,Low,Medium,"Material, texture and acoustic product design receive furniture-level visual treatment",9.8,A,audio|luxury|scandinavian|product|materials,Active,2026-08-07,https://www.bang-olufsen.com/en/us/speakers/beosound-a5,
484,Vitra Eames Lounge Chair,https://www.vitra.com/en-us/product/eames-lounge-chair,Website,Furniture product story,Furniture / Design,"Modernist editorial, heritage, product-led",Light,Modern sans,Iconic chair / design history,Low,Low,Low,"An iconic object is supported by calm editorial design, history and material detail",9.6,A,furniture|modernist|editorial|product|heritage,Active,2026-08-07,https://www.vitra.com/en-us/product/eames-lounge-chair,
485,USM Haller,https://www.usm.com/en/home/products/usm-haller/,Website,Modular furniture system,Furniture / Industrial Design,"Swiss modular, geometric, systems-led",Light,Swiss sans,Modular furniture / configuration,Medium,Medium,Low,The digital layout mirrors the modular logic and geometric precision of the product itself,9.7,A,furniture|swiss|modular|systems|product,Active,2026-08-07,https://www.usm.com/en/home/products/usm-haller/,
486,Sony WH-1000XM6,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm6-b,Website,Headphones product page,Technology / Audio,"Dark premium, technical, lifestyle-led",Dark,Modern sans,Headphones / acoustic feature story,Medium,Medium,Low,Technical audio features are balanced with polished lifestyle imagery and product detail,9.5,A,audio|headphones|product|technical|premium,Active,2026-08-07,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm6-b,
487,Framework Laptop 13,https://frame.work/products/laptop13-diy-intel-ultra-1,Website,Modular laptop,Technology / Hardware,"Technical modular, transparent, repair-first",Light,Modern sans,Exploded / configurable laptop,Medium,Medium,Low,Repairability becomes a visual design language through exploded components and modular choices,9.6,A,laptop|modular|repairable|technical|product,Active,2026-08-07,https://frame.work/products/laptop13-diy-intel-ultra-1,
488,PlayStation Portal,https://www.playstation.com/en-us/accessories/playstation-portal-remote-player/,Website,Gaming accessory,Gaming / Hardware,"Dark gaming cinematic, product-led",Dark,Modern sans,Device / gameplay feature story,Medium,Medium,Low,"A strong reference for combining hardware photography, game imagery and premium motion",9.5,A,gaming|hardware|product|cinematic|dark,Active,2026-08-07,https://www.playstation.com/en-us/accessories/playstation-portal-remote-player/,
489,Razer Blade 16,https://www.razer.com/gaming-laptops/razer-blade-16,Website,Gaming laptop,Gaming / Hardware,"Dark neon, technical, performance-led",Dark,Geometric sans,Laptop / display / performance story,High,Medium,Medium,"High-performance hardware is dramatized through neon contrast, 3D renders and dense specs",9.6,A,gaming|laptop|dark|neon|product|3d,Active,2026-08-07,https://www.razer.com/gaming-laptops/razer-blade-16,
490,DJI Ronin 4D,https://www.dji.com/ronin-4d,Website,Cinema camera system,Film / Technology,"Cinematic engineering, technical, premium",Dark,Modern sans,Cinema rig / engineering story,High,Medium,High,A complex professional cinema system becomes a dramatic engineering narrative,9.8,A,camera|cinema|engineering|3d|product|motion,Active,2026-08-07,https://www.dji.com/ronin-4d,
491,WindowSwap,https://www.window-swap.com/,Webapp,Ambient visual exploration,Culture / Travel,"Minimal, ambient, video-first",Dark,Minimal sans,Random window video,Low,High,Low,A single simple idea turns strangers' windows around the world into a calm discovery interface,9.7,A,ambient|video|travel|discovery|minimal,Active,2026-08-07,https://www.window-swap.com/,
492,Incredibox,https://www.incredibox.com/,Webapp,Interactive music maker,Music / Creative,"Character-led, colorful, musical",Mixed,Illustrative display sans,Animated beatbox characters,High,High,Medium,Music composition becomes instantly understandable through draggable animated characters,10.0,A,music|characters|interactive|animation|playful,Active,2026-08-07,https://www.incredibox.com/,
493,Typatone,https://typatone.com/,Webapp,Generative typing instrument,Music / Typography,"Minimal, sound-reactive, typographic",Light,Monospace / system type,Typing-to-music canvas,High,High,Low,Every typed character becomes both sound and visual rhythm,9.8,A,typography|music|generative|interactive|minimal,Active,2026-08-07,https://typatone.com/,
494,Plink,https://plink.in/,Webapp,Collaborative music experiment,Music / Creative,"Abstract, colorful, multiplayer, sound-led",Dark,Minimal sans,Collaborative audiovisual instrument,High,High,Medium,Multiple visitors can improvise together through an abstract browser-based instrument,9.9,A,music|multiplayer|interactive|audio|abstract,Active,2026-08-07,https://plink.in/,
495,Musicmap,https://musicmap.info/,Webapp,Music genre visualization,Music / Data,"Dense diagrammatic, exploratory, map-like",Dark,Condensed sans,Interactive genre map,Medium,High,Low,Music history becomes a huge explorable taxonomy rather than a linear article,9.8,A,music|map|data-visualization|taxonomy|interactive,Active,2026-08-07,https://musicmap.info/,
496,Species in Pieces,https://www.species-in-pieces.com/,Website,Interactive conservation story,Climate / Art,"Polygonal, animated, emotional",Dark,Minimal sans,Animated polygon species,High,High,Medium,Thirty endangered species are reconstructed from shifting geometric fragments,10.0,A,conservation|polygon|animation|interactive|storytelling,Active,2026-08-07,https://www.species-in-pieces.com/,
497,The Scale of the Universe 2,https://htwins.net/scale2/,Webapp,Interactive scale visualization,Science / Education,"Illustrated, zoomable, scale-driven",Dark,Simple sans,Continuous scale slider,Medium,High,Low,A single zoom interaction connects subatomic scale to the observable universe,10.0,A,science|scale|zoom|interactive|education,Active,2026-08-07,https://htwins.net/scale2/,
498,Distance to Mars,https://www.distancetomars.com/,Website,Interactive scale story,Science / Space,"Long-scroll, minimal, scale-driven",Dark,Minimal sans,Earth-to-Mars scroll,Medium,High,Low,Physical scrolling makes the enormous distance to Mars intuitively understandable,9.8,A,space|scroll|scale|interactive|minimal,Active,2026-08-07,https://www.distancetomars.com/,
499,The True Size Of,https://thetruesize.com/,Webapp,Map projection explorer,Geography / Education,"Map-led, utilitarian, revelatory",Light,Simple sans,Drag-and-compare world map,Low,High,Low,Dragging countries across latitudes reveals how misleading familiar map projections can be,9.8,A,map|geography|interactive|education|data,Active,2026-08-07,https://thetruesize.com/,
500,The Internet Map,https://internet-map.net/,Webapp,Network visualization,Technology / Data,"Cosmic network, spatial, data-driven",Dark,Minimal sans,Zoomable website galaxy,Medium,High,Medium,Websites become planets in an enormous navigable network universe,9.9,A,internet|network|map|data-visualization|interactive,Active,2026-08-07,https://internet-map.net/,
501,Histography,https://histography.io/,Webapp,Interactive history timeline,History / Data,"Timeline-first, minimal, data-rich",Dark,Minimal sans,Zoomable historical timeline,Medium,High,Low,Billions of years of history become one smooth interactive time surface,9.9,A,history|timeline|data-visualization|interactive|minimal,Active,2026-08-07,https://histography.io/,
502,Smithsonian 3D,https://3d.si.edu/,Webapp,3D collection explorer,Museum / Culture,"Museum-grade, object-led, spatial",Dark,Modern sans,Interactive 3D artifacts,High,High,High,"Museum objects can be rotated, inspected and explored at a level impossible in a display case",10.0,A,museum|3d|artifacts|interactive|culture,Active,2026-08-07,https://3d.si.edu/,
503,Museum of the World,https://britishmuseum.withgoogle.com/,Webapp,Interactive museum timeline,Museum / Culture,"Constellation-like, timeline, spatial",Dark,Minimal sans,Interactive object/time network,High,High,Medium,"Human history becomes a spatial constellation of objects, eras and regions",10.0,A,museum|history|timeline|interactive|data-visualization,Active,2026-08-07,https://britishmuseum.withgoogle.com/,
504,The Hidden Worlds of the National Parks,https://artsandculture.withgoogle.com/en-us/national-parks-service,Website,Interactive nature documentary,Nature / Culture,"Cinematic, guided, immersive, audio-led",Dark,Editorial sans,Guided park exploration,High,High,Medium,"Rangers guide visitors through remote landscapes using 360° imagery, sound and interaction",10.0,A,nature|360|immersive|storytelling|interactive,Active,2026-08-07,https://artsandculture.withgoogle.com/en-us/national-parks-service,
505,Fabricius,https://artsandculture.google.com/experiment/fabricius/gwHX41Sm0N7-Dw,Webapp,AI hieroglyphics experiment,AI / Culture,"Educational, playful, artifact-led",Light,Friendly sans,Hieroglyph translation / drawing interface,High,High,Low,"Ancient writing becomes approachable through drawing, translation and machine learning",9.8,A,ai|history|language|interactive|education,Active,2026-08-07,https://artsandculture.google.com/experiment/fabricius/gwHX41Sm0N7-Dw,
506,Land Lines,https://lines.chromeexperiments.com/,Webapp,Satellite-image experiment,AI / Geography,"Gesture-led, satellite, generative",Dark,Minimal sans,Draw / drag satellite lines,High,High,Medium,A drawn line instantly finds matching shapes across Google Earth satellite imagery,10.0,A,satellite|gesture|machine-learning|interactive|generative,Active,2026-08-07,https://lines.chromeexperiments.com/,
507,Art Palette,https://artsexperiments.withgoogle.com/artpalette/colors,Webapp,Color / art discovery,Art / AI,"Color-led, visual, grid-based",Light,Minimal sans,Palette-to-artwork explorer,Medium,High,Low,A color palette becomes a search query across art history,9.8,A,art|color|palette|interactive|machine-learning,Active,2026-08-07,https://artsexperiments.withgoogle.com/artpalette/colors,
508,Draw to Art,https://artsandculture.google.com/experiment/draw-to-art/fQEscU-dAXDayQ?hl=en,Webapp,Drawing-to-art experiment,Art / AI,"Sketch-led, playful, visual search",Light,Friendly sans,Drawing canvas / art matches,High,High,Low,A rough doodle becomes a bridge into museum collections via visual similarity,9.8,A,art|drawing|ai|interactive|visual-search,Active,2026-08-07,https://artsandculture.google.com/experiment/draw-to-art/fQEscU-dAXDayQ?hl=en,
509,FreddieMeter,https://experiments.withgoogle.com/freddiemeter,Webapp,AI singing experiment,Music / AI,"Performance-led, playful, audio-reactive",Dark,Bold sans,Live vocal analysis,High,High,Low,Real-time machine learning turns singing into a playful visual performance score,9.8,A,music|ai|voice|interactive|performance,Active,2026-08-07,https://experiments.withgoogle.com/freddiemeter,
510,LOOPY,https://ncase.me/loopy/,Webapp,Systems-thinking sandbox,Education / Systems,"Hand-drawn, playful, simulation-led",Light,Hand-drawn sans,Interactive causal-loop canvas,Medium,High,Low,Complex feedback systems can be drawn and simulated with almost no learning curve,10.0,A,systems|simulation|drawing|interactive|education,Active,2026-08-07,https://ncase.me/loopy/,
511,We Become What We Behold,https://ncase.itch.io/wbwwb,Webapp,Interactive media simulation,Culture / Education,"Minimal cartoon, game-like, provocative",Light,Simple sans,Playable media feedback loop,Medium,High,Low,A tiny game communicates media feedback loops more effectively than a long essay,9.9,A,game|media|simulation|interactive|storytelling,Active,2026-08-07,https://ncase.itch.io/wbwwb,
512,Parable of the Polygons,https://ncase.me/polygons/,Webapp,Interactive social explainer,Education / Society,"Illustrated, playful, simulation-driven",Light,Friendly sans,Drag-and-simulate neighborhood grid,Medium,High,Low,Direct manipulation makes emergent segregation patterns immediately understandable,10.0,A,simulation|society|interactive|education|illustration,Active,2026-08-07,https://ncase.me/polygons/,
513,Crowds,https://ncase.me/crowds/,Webapp,Interactive social-network explainer,Education / Society,"Illustrated, network-based, playful",Light,Friendly sans,Interactive social-network simulation,Medium,High,Low,Network structures and social influence are explained through playful direct manipulation,9.9,A,networks|simulation|interactive|education|society,Active,2026-08-07,https://ncase.me/crowds/,
514,The Password Game,https://neal.fun/password-game/,Webapp,Interactive comedy game,Entertainment,"Minimal UI, escalating absurdity",Light,Simple sans,Live password rules interface,Medium,High,Low,A familiar password field slowly mutates into an increasingly absurd interactive system,10.0,A,game|comedy|interface|interactive|concept,Active,2026-08-07,https://neal.fun/password-game/,
515,Asteroid Launcher,https://neal.fun/asteroid-launcher/,Webapp,Interactive impact simulator,Science / Entertainment,"Map-led, simulation-driven, playful",Dark,Simple sans,Map / asteroid impact controls,Medium,High,Low,"Choose an asteroid and impact point, then watch real-world geographic consequences unfold",9.9,A,map|simulation|science|interactive|playful,Active,2026-08-07,https://neal.fun/asteroid-launcher/,
516,Absurd Trolley Problems,https://neal.fun/absurd-trolley-problems/,Webapp,Interactive ethics game,Entertainment / Philosophy,"Illustrated, comedic, game-like",Light,Simple sans,Sequential moral-choice interface,Medium,High,Low,A philosophical thought experiment becomes a progressively stranger interactive comedy,9.8,A,game|philosophy|illustration|interactive|comedy,Active,2026-08-07,https://neal.fun/absurd-trolley-problems/,
517,Design the Next iPhone,https://neal.fun/design-the-next-iphone/,Webapp,Product-design toy,Design / Entertainment,"3D toy-like, playful, drag-and-drop",Light,Simple sans,Customizable 3D phone canvas,High,High,Medium,Users physically build absurd phone concepts by dragging parts onto a rotatable device,9.9,A,product-design|3d|playful|interactive|drag-drop,Active,2026-08-07,https://neal.fun/design-the-next-iphone/,
518,Perfect Circle,https://neal.fun/perfect-circle/,Webapp,Micro interaction challenge,Entertainment / Design,"Minimal, gesture-first, immediate",Light,Simple sans,Draw-a-circle canvas,Low,High,Low,An almost empty page becomes compelling through one precise gesture challenge,9.7,A,gesture|minimal|interactive|game|microinteraction,Active,2026-08-07,https://neal.fun/perfect-circle/,
519,Zoomquilt,https://zoomquilt.org/,Website,Infinite collaborative artwork,Art / Generative,"Surreal, infinite zoom, hypnotic",Dark,Minimal interface,Endless zooming artwork,High,Low,Medium,A continuous painted world creates the illusion of falling forever through nested scenes,10.0,A,art|infinite|zoom|surreal|immersive,Active,2026-08-07,https://zoomquilt.org/,
520,WebGL Fluid Simulation,https://paveldogreat.github.io/WebGL-Fluid-Simulation/,Webapp,Generative physics toy,Creative Technology,"Luminous, fluid, reactive, full-screen",Dark,No-content canvas,Interactive fluid simulation,High,High,High,Pointer gestures produce mesmerizing real-time fluid and color behavior directly in the browser,10.0,A,webgl|fluid|generative|interactive|creative-code,Active,2026-08-07,https://paveldogreat.github.io/WebGL-Fluid-Simulation/,
521,OEC World,https://oec.world/,Webapp,Economic data explorer,Data / Economics,"Data-dense, colorful, exploratory",Light,Modern sans,Global trade visualization dashboard,Medium,High,Low,Huge global trade datasets remain approachable through highly visual exploratory interfaces,9.8,A,data-visualization|economics|maps|interactive|dashboard,Active,2026-08-07,https://oec.world/,
522,Paper Planes,https://paperplanes.world/,Webapp,Global playful experiment,Creative / Culture,"Mobile-first, map-led, playful, tactile",Light,Friendly sans,Throw-and-catch paper planes,High,High,Medium,A physical throwing gesture connects strangers around the world through digital paper planes,9.9,A,playful|mobile|map|interactive|global,Active,2026-08-07,https://paperplanes.world/,
523,A Soft Murmur,https://asoftmurmur.com/,Webapp,Ambient sound mixer,Wellness / Audio,"Minimal, calm, sound-led",Dark,Minimal sans,Ambient sound controls,Low,High,Low,A restrained interface lets users compose atmosphere rather than music,9.6,A,audio|ambient|minimal|wellness|interactive,Active,2026-08-07,https://asoftmurmur.com/,
524,Morse,https://morse.withgoogle.com/learn/,Webapp,Accessible learning experience,Education / Accessibility,"Friendly, tactile, educational",Light,Google sans,Interactive Morse lessons,Medium,High,Low,"A communication system becomes approachable through sound, rhythm and simple interactive lessons",9.7,A,education|accessibility|sound|interactive|learning,Active,2026-08-07,https://morse.withgoogle.com/learn/,
525,Semi-Conductor,https://semiconductor.withgoogle.com/,Webapp,Gesture-controlled orchestra,Music / Creative Technology,"Camera-driven, expressive, musical",Dark,Minimal sans,Body-controlled orchestra,High,High,Medium,Computer vision turns body movement into a conductor interface for an orchestra,10.0,A,music|gesture|computer-vision|interactive|performance,Active,2026-08-07,https://semiconductor.withgoogle.com/,
526,Drive & Listen,https://driveandlisten.herokuapp.com/,Webapp,Virtual city driving,Travel / Audio,"Video-first, ambient, transportive",Dark,Minimal sans,Driving video + local radio,Low,High,Low,Street footage and local radio create a surprisingly convincing sense of visiting another city,9.7,A,travel|video|radio|ambient|interactive,Active,2026-08-07,https://driveandlisten.herokuapp.com/,
527,City Walks Live,https://citywalks.live/,Webapp,Virtual city walking,Travel / Culture,"Map-led, ambient, video-based",Dark,Minimal sans,City walk video interface,Low,High,Low,A simple city-selection interface becomes a portal into real-time-feeling street exploration,9.6,A,travel|video|city|ambient|discovery,Active,2026-08-07,https://citywalks.live/,
528,Windy,https://www.windy.com/,Webapp,Weather visualization,Science / Weather,"Animated geospatial data, high-density",Dark,Utility sans,Interactive weather map,High,High,Medium,Weather becomes a living animated surface with extraordinary information density,9.9,A,weather|map|data-visualization|animation|interactive,Active,2026-08-07,https://www.windy.com/,
529,Ventusky,https://www.ventusky.com/,Webapp,Weather visualization,Science / Weather,"Atmospheric, animated, map-led",Dark,Utility sans,Animated weather globe / map,High,High,Medium,"Wind, temperature and pressure patterns become visually legible through continuous motion",9.8,A,weather|map|data-visualization|interactive|animation,Active,2026-08-07,https://www.ventusky.com/,
530,Google Earth Timelapse,https://earthengine.google.com/timelapse/,Webapp,Planetary change visualization,Climate / Geography,"Satellite, time-based, global",Dark,Minimal sans,Zoomable satellite timelapse,High,High,Medium,Decades of planetary change are compressed into an explorable moving satellite map,10.0,A,satellite|climate|timelapse|map|data-visualization,Active,2026-08-07,https://earthengine.google.com/timelapse/,
531,Global Fishing Watch Map,https://globalfishingwatch.org/map/,Webapp,Ocean activity visualization,Climate / Data,"Map-led, scientific, temporal",Dark,Utility sans,Interactive vessel-activity map,Medium,High,Medium,Massive vessel datasets become visible as patterns of human activity across the oceans,9.8,A,ocean|map|data-visualization|climate|interactive,Active,2026-08-07,https://globalfishingwatch.org/map/,
532,The Pudding — Film Dialogue by Gender,https://pudding.cool/2017/03/film-dialogue/,Blog,Visual essay,Editorial / Data,"Scrollytelling, data-led, editorial",Light,Editorial sans,Interactive film-dialogue analysis,Medium,High,Low,Millions of screenplay lines become an accessible visual argument about representation,9.9,A,editorial|data-visualization|film|scrollytelling|interactive,Active,2026-08-07,https://pudding.cool/2017/03/film-dialogue/,
